,Unnamed: 0,id,source_id,row_index,segment_idx,akk,eng,transliteration,translation
0,0,0,,60,0,a-bu-a MAŠKIM ù tám-kà-ru ú-ṣú-ur-ša-a-šur DUMU a-šur-ma-lik iṣ-bu-tù-ni-a-tí-ma a-na É ú-ṣú-ur-ša-a-šur ú-šé-ri-bu-ni-a-tí-ma ma-ṣa-ar-tí ú-ṣú-ur-ša-a-šur tám-kà-ru-šu i-na ma-aḫ-ri-ni ip-té-ú-ma ṭup-pì-šu ḫa-ru-mu-tim ú-šé-ṣí-ú-ni-ma i-na li-bi₄ ṭup-pì-šu ṭup-pá-am ḫa-ar-ma-am ša 6 GÚ AN.NA ku-nu-ki ša a-lim{ki} ú 45 TÚG ku-ta-ni ša-lim-a-šur a-na a-šur-i-dí DUMU sá-da-a i-da-an-ma 1 GÚ KÙ.BABBAR ṣa-ru-pá-am a-šur-i-dí a-na ša-lim-a-šur i-ša-qal šu-ma a-šur-i-dí DUMU sá-da-a lá-šu AN.NA ù TÚG ṣú-ba-tí a-na ša ki-ma a-šur-i-dí ša-lim-a-šur i-da-an ṭup-pu-um ḫa-ar-mu-um ša ḫu-bu-ul a-šur-i-dí i-na É ú-ṣú-ur-ša-a-šur DUMU a-šur-ma-lik i-na li-bi₄ ṭup-pì-šu e-li-a-ma ù a-na a-šur-ma-lik DUMU a-lá-ḫi-im ip-qí-du-šu a-na a-wa-tim a-ni-a-tim kà-ru-um kà-né-eš i-dí-ni-a-tí-ma IGI GÍR ša a-šur ší-bu-tí-ni ni-dí-in ,"Abuwa, the attorney, and the customers of Uṣur-ša-Aššur son of Aššur-malik seized us and led us into Uṣur-ša-Aššur's house, and his customers opened Uṣur-ša-Aššur's strong room with us as witnesses, took out his certified tablets, and (selected) from his tablets one certified tablet stating that Šalim-Aššur shall give 6 talents of tin sealed in the City and 45 -textiles to Aššur-idī son of Sadaya, and that Aššur-idī shall pay 1 talent of refined silver to Šalim-Aššur; if Aššur-idī son of Sadaya should be absent, Šalim-Aššur shall give the tin and the textiles to Aššur-idī's representatives. This certified tablet concerning Aššur-idī's debt appeared in the house of Uṣur-ša-Aššur son of Aššur-malik among his tablets, and thereafter they entrusted it to Aššur-malik son of Ali-ahum. § The Kanesh colony gave us for these proceedings and we gave our testimony before Aššur's dagger. ",a-bu-a MAŠKIM ù tám-kà-ru ú-ṣú-ur-ša-a-šur DUMU a-šur-ma-lik iṣ-bu-tù-ni-a-tí-ma a-na É ú-ṣú-ur-ša-a-šur ú-šé-ri-bu-ni-a-tí-ma ma-ṣa-ar-tí ú-ṣú-ur-ša-a-šur tám-kà-ru-šu i-na ma-aḫ-ri-ni ip-té-ú-ma ṭup-pì-šu ḫa-ru-mu-tim ú-šé-ṣí-ú-ni-ma i-na li-bi₄ ṭup-pì-šu ṭup-pá-am ḫa-ar-ma-am ša 6 GÚ AN.NA ku-nu-ki ša a-lim{ki} ú 45 TÚG ku-ta-ni ša-lim-a-šur a-na a-šur-i-dí DUMU sá-da-a i-da-an-ma 1 GÚ KÙ.BABBAR ṣa-ru-pá-am a-šur-i-dí a-na ša-lim-a-šur i-ša-qal šu-ma a-šur-i-dí DUMU sá-da-a lá-šu AN.NA ù TÚG ṣú-ba-tí a-na ša ki-ma a-šur-i-dí ša-lim-a-šur i-da-an ṭup-pu-um ḫa-ar-mu-um ša ḫu-bu-ul a-šur-i-dí i-na É ú-ṣú-ur-ša-a-šur DUMU a-šur-ma-lik i-na li-bi₄ ṭup-pì-šu e-li-a-ma ù a-na a-šur-ma-lik DUMU a-lá-ḫi-im ip-qí-du-šu a-na a-wa-tim a-ni-a-tim kà-ru-um kà-né-eš i-dí-ni-a-tí-ma IGI GÍR ša a-šur ší-bu-tí-ni ni-dí-in ,"Abuwa, the attorney, and the customers of Uṣur-ša-Aššur son of Aššur-malik seized us and led us into Uṣur-ša-Aššur's house, and his customers opened Uṣur-ša-Aššur's strong room with us as witnesses, took out his certified tablets, and (selected) from his tablets one certified tablet stating that Šalim-Aššur shall give 6 talents of tin sealed in the City and 45 -textiles to Aššur-idī son of Sadaya, and that Aššur-idī shall pay 1 talent of refined silver to Šalim-Aššur; if Aššur-idī son of Sadaya should be absent, Šalim-Aššur shall give the tin and the textiles to Aššur-idī's representatives. This certified tablet concerning Aššur-idī's debt appeared in the house of Uṣur-ša-Aššur son of Aššur-malik among his tablets, and thereafter they entrusted it to Aššur-malik son of Ali-ahum. § The Kanesh colony gave us for these proceedings and we gave our testimony before Aššur's dagger. "
1,1,1,,145,0,a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma ší-bu-tí-ni ni-dí-in," § The Kanesh colony gave us for these proceedings and we have our testimony. """,a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma ší-bu-tí-ni ni-dí-in," § The Kanesh colony gave us for these proceedings and we have our testimony. """
2,2,2,,155,0,a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš{ki} i-dí-ni-a-tí-ma ṭup-pá-am IGI GÍR ša a-šùr i-ba-ab DINGIR-lim ni-dí-in," § The Kanesh colony gave us for these proceedings, and we gave a tablet in front of Aššur's dagger in the Gate of the God.""",a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš{ki} i-dí-ni-a-tí-ma ṭup-pá-am IGI GÍR ša a-šùr i-ba-ab DINGIR-lim ni-dí-in," § The Kanesh colony gave us for these proceedings, and we gave a tablet in front of Aššur's dagger in the Gate of the God."""
3,3,3,,157,0,kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma ší-bu-tí-ni ba-áb i-lim IGI pá-aṭ-ri-im ša a-šur ṭup-pá-am ni-dí-in," § The Kanesh colony gave us and we gave our testimony in the Gate of the God before Aššur's dagger on a tablet. """,kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma ší-bu-tí-ni ba-áb i-lim IGI pá-aṭ-ri-im ša a-šur ṭup-pá-am ni-dí-in," § The Kanesh colony gave us and we gave our testimony in the Gate of the God before Aššur's dagger on a tablet. """
4,4,4,,228,0,<gap> né-ma-al-šu ba-a-nim a ma-lá dí-in a-lim{ki} KÙ.BABBAR šu-uq-lá-ma ù a-na a-lim{ki} lu ni-lik lá tù-na-ḫa-ni lá ri-ig-ma-tum ší-bu-tum uš-kà-i-in a ṭup-pí-im ša a-lim{ki} ú ra-bi₄-ṣí-im ša be-li-a um-ma en-um-a-šur-ma a-na a-ba-ba-ma a-ta IGI a-we-li a-ni-ú-tim ta-aṣ-ba-tám-ma i-na dí-tim ta-áš-a-lá-ni a-ta ra-bi-ṣú-um i-li-kam-ma um-ma a-lá-ḫu-um-ma a-ḫi ma a bu a-ša-al ni-a-tí iš-al-ni-a-tí-ma na-pá-lá-tí-ni a-na a-lim{ki} i-ta-ba-al i-nu-mì a-bu-ni i-na dur₄-ḫu-mì-it me-tù a-na-ku lá-šu-a-ku-ma a-ḫi a-lá-ḫu-um i ri-iš a-bi-a i-zi-iz ús-ta-ki-lu-ni-ma a-bi ma-lá li-bi-šu-ma ù-lá-pí-it mì-ma a-na a-bi-a lá ḫa-bu-lá-ku ba-a-am URUDU ša dur₄-ḫu-mì-it bu-lá-tí lu ni-al-qé-a-am-ma a ma-lá dí-in a-lim{ki} iš-tí-kà a-na a-lim{ki} lu ni-lik-ma i-na bu-lá-tí ša a-bi-ni li-ma-am lu nu-ṭá-ib-ma i-na ší-ma-tí-ni ša a-bi₄-ni ša a-lim{ki} iš-tí a-ḫi-a ù a-ḫa-tí-a <gap> ra-bi-ṣú-um <gap> (l,"<gap> his profit. Come on! Pay in accordance with the verdict of the City, and then let us go to the City. Do not obstruct me."" This is not a formal lawsuit but a witnessed questioning. ""I submit to the tablet from the City and my lord's attorney."" Ennam-Aššur said to Ababa: ""It is you who have seized me before these men and you have questioned me in court. It is you who came as an attorney, but Ali-ahum said: 'I shall question my brother <gap>' It was us that he questioned and he took our answers away to the City. When our father died in Durhumit I personally was not present, but my brother Ali-ahum took care of my father. They appropriated things illegally and my father wrote what he wished. I do not owe anything to my father. Come on, let us take the copper in Durhumit, the assets, and let us go with you to the City in accordance with the verdict of the City and let us satisfy the eponym with the assets of our father and let me discuss the testament of our father in the City with my brother and my sister <gap> the attorney <gap> The Kanesh colony gave us for these proceedings and we gave our testimony before Aššur's dagger. Witnessed by <gap> by Suen-damiq, son of Aššur-imittī.""",<gap> né-ma-al-šu ba-a-nim a ma-lá dí-in a-lim{ki} KÙ.BABBAR šu-uq-lá-ma ù a-na a-lim{ki} lu ni-lik lá tù-na-ḫa-ni lá ri-ig-ma-tum ší-bu-tum uš-kà-i-in a ṭup-pí-im ša a-lim{ki} ú ra-bi₄-ṣí-im ša be-li-a um-ma en-um-a-šur-ma a-na a-ba-ba-ma a-ta IGI a-we-li a-ni-ú-tim ta-aṣ-ba-tám-ma i-na dí-tim ta-áš-a-lá-ni a-ta ra-bi-ṣú-um i-li-kam-ma um-ma a-lá-ḫu-um-ma a-ḫi ma a bu a-ša-al ni-a-tí iš-al-ni-a-tí-ma na-pá-lá-tí-ni a-na a-lim{ki} i-ta-ba-al i-nu-mì a-bu-ni i-na dur₄-ḫu-mì-it me-tù a-na-ku lá-šu-a-ku-ma a-ḫi a-lá-ḫu-um i ri-iš a-bi-a i-zi-iz ús-ta-ki-lu-ni-ma a-bi ma-lá li-bi-šu-ma ù-lá-pí-it mì-ma a-na a-bi-a lá ḫa-bu-lá-ku ba-a-am URUDU ša dur₄-ḫu-mì-it bu-lá-tí lu ni-al-qé-a-am-ma a ma-lá dí-in a-lim{ki} iš-tí-kà a-na a-lim{ki} lu ni-lik-ma i-na bu-lá-tí ša a-bi-ni li-ma-am lu nu-ṭá-ib-ma i-na ší-ma-tí-ni ša a-bi₄-ni ša a-lim{ki} iš-tí a-ḫi-a ù a-ḫa-tí-a <gap> ra-bi-ṣú-um <gap> (l,"<gap> his profit. Come on! Pay in accordance with the verdict of the City, and then let us go to the City. Do not obstruct me."" This is not a formal lawsuit but a witnessed questioning. ""I submit to the tablet from the City and my lord's attorney."" Ennam-Aššur said to Ababa: ""It is you who have seized me before these men and you have questioned me in court. It is you who came as an attorney, but Ali-ahum said: 'I shall question my brother <gap>' It was us that he questioned and he took our answers away to the City. When our father died in Durhumit I personally was not present, but my brother Ali-ahum took care of my father. They appropriated things illegally and my father wrote what he wished. I do not owe anything to my father. Come on, let us take the copper in Durhumit, the assets, and let us go with you to the City in accordance with the verdict of the City and let us satisfy the eponym with the assets of our father and let me discuss the testament of our father in the City with my brother and my sister <gap> the attorney <gap> The Kanesh colony gave us for these proceedings and we gave our testimony before Aššur's dagger. Witnessed by <gap> by Suen-damiq, son of Aššur-imittī."""
5,5,5,,979,0,sú-in-na-da DUMU en-um-a-šùr tap-pá-i-ni a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš ṣa-ḫe-er GAL i-dí-ni-a-tí-ma ší-bu-tí-ni IGI GÍR ša a-šùr ni-dí-in," Suen-nādā son of Ennam-Aššur was our (absent) partner. The plenary assembly of the Kanesh colony gave us for these proceedings, and we gave our testimony before Aššur's dagger. ",sú-in-na-da DUMU en-um-a-šùr tap-pá-i-ni a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš ṣa-ḫe-er GAL i-dí-ni-a-tí-ma ší-bu-tí-ni IGI GÍR ša a-šùr ni-dí-in," Suen-nādā son of Ennam-Aššur was our (absent) partner. The plenary assembly of the Kanesh colony gave us for these proceedings, and we gave our testimony before Aššur's dagger. "
6,6,6,,983,0,a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš-ki i-dí-ni-a-tí-ma IGI GÍR ša a-šùr ší-bu-tí-ni ni-dí-in i-tur₄-DINGIR DUMU a-mur-IŠTAR tap-pá-i-ni, § The Kanesh colony gave us for these proceedings and we gave our testimony before Aššur's dagger. Itūr-ilī son of Amur-Ištar was our (absent) partner. ,a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš-ki i-dí-ni-a-tí-ma IGI GÍR ša a-šùr ší-bu-tí-ni ni-dí-in i-tur₄-DINGIR DUMU a-mur-IŠTAR tap-pá-i-ni, § The Kanesh colony gave us for these proceedings and we gave our testimony before Aššur's dagger. Itūr-ilī son of Amur-Ištar was our (absent) partner. 
7,7,7,,1154,0,a-na a-wa-tim a-ni-a-tim kà-ru-um kà-né-eš i-dí-ni-a-tí-ma IGI GÍR ša a-šùr ší-bu-tí-ni ni-dí-in," § The Kanesh colony gave us for these proceedings and we gave our testimony before Aššur's dagger. """,a-na a-wa-tim a-ni-a-tim kà-ru-um kà-né-eš i-dí-ni-a-tí-ma IGI GÍR ša a-šùr ší-bu-tí-ni ni-dí-in," § The Kanesh colony gave us for these proceedings and we gave our testimony before Aššur's dagger. """
8,8,8,,1160,0,a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš-ki i-dí-ni-a-tí-ma ší-bu-tí-ni IGI GÍR ša a-šùr ni-dí-in," § The Kanesh colony gave us for these proceedings and we gave our testimony before Aššur's dagger. """,a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš-ki i-dí-ni-a-tí-ma ší-bu-tí-ni IGI GÍR ša a-šùr ni-dí-in," § The Kanesh colony gave us for these proceedings and we gave our testimony before Aššur's dagger. """
9,9,9,,1171,0,i-nu-mì ku-ra ša-lim-a-šùr a-na ba-áb DINGIR-lim a-šu-mì KÙ.BABBAR ša ta-pá-ú-tim ša tù-um-li-a-i-um ḫa-bu-lu-ni-ma ú-šé-ri-da-šu-ni a-la-ḫu-um iš-tí be-el ed-ma-tim i-na ba-áb DINGIR-lim i-zi-iz a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-ìš i-dí-ni-a-tí-ma ṭup-pá-um IGI GÍR ša a-šùr ba-áb DINGIR-lim ni-dí-in ,"When Kura led Šalim-Aššur to the Gate of the God because of the silver of the partnership that the man from Tumliya owed, Ali-ahum stood with the shareholders in the Gate of the God. § The Kanesh colony gave us for these proceedings, and we gave a tablet before Aššur's dagger in the Gate of the God. ",i-nu-mì ku-ra ša-lim-a-šùr a-na ba-áb DINGIR-lim a-šu-mì KÙ.BABBAR ša ta-pá-ú-tim ša tù-um-li-a-i-um ḫa-bu-lu-ni-ma ú-šé-ri-da-šu-ni a-la-ḫu-um iš-tí be-el ed-ma-tim i-na ba-áb DINGIR-lim i-zi-iz a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-ìš i-dí-ni-a-tí-ma ṭup-pá-um IGI GÍR ša a-šùr ba-áb DINGIR-lim ni-dí-in ,"When Kura led Šalim-Aššur to the Gate of the God because of the silver of the partnership that the man from Tumliya owed, Ali-ahum stood with the shareholders in the Gate of the God. § The Kanesh colony gave us for these proceedings, and we gave a tablet before Aššur's dagger in the Gate of the God. "
10,10,10,,1178,0,a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš <gap> i-dí-ni-a-tí-ma IGI GÍR ša a-šùr ṭup-pá-am ša ší-bu-tí-ni ni-dí-in," § The Kanesh colony gave us for these proceedings and we gave a tablet with our testimony before the dagger of Aššur. """,a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš <gap> i-dí-ni-a-tí-ma IGI GÍR ša a-šùr ṭup-pá-am ša ší-bu-tí-ni ni-dí-in," § The Kanesh colony gave us for these proceedings and we gave a tablet with our testimony before the dagger of Aššur. """
11,11,11,,73,0,a-šùr-na-da DUMU šu-{d}EN.LÍL tap-pá-i-ni , Aššur-nādā son of Šu-Illil is our (absent) partner. ,a-šùr-na-da DUMU šu-{d}EN.LÍL tap-pá-i-ni , Aššur-nādā son of Šu-Illil is our (absent) partner. 
12,12,12,,73,1,a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma IGI GÍR ša a-šur ší-bu-tí-ni ni-dí-in,"The Kanesh colony gave us for these proceedings and we gave our testimony before Aššur's dagger.""",a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma IGI GÍR ša a-šur ší-bu-tí-ni ni-dí-in,"The Kanesh colony gave us for these proceedings and we gave our testimony before Aššur's dagger."""
13,13,13,,76,0,ša 24 ma-na KÙ.BABBAR i-dí-a-bu-um a-na a-šur-be-el-a-wa-tim ḫa-bu-lu šu-ku-bu-um me-ra-šu É-tí ša šál-ma-a-šur wa-áš-bu ik-nu-uk-ma am-tám ù ÌR-dí ú-šé-ṣí-ma i-na a-mu-tim ša É a-lim{ki} ša-lim-a-šur i-sí-ú-ma iš-tí id-na-a-šùr ad-mu-ma a-na kà-ni-iš ú-šé-bi₄-lu qá-tám ša šál-ma-a-šur šu-ku-bu-um DUMU a-šur-be-el-a-wa-tim a-na ḫu-bu-ul i-dí-a-bi₄-im il₅-qé-ma É-tí am-tám ù ÌR-dí a-na ša ki-ma šál-ma-a-šur ú-šé-er <gap> ,"Concerning the fact that Iddin-abum owes 24 minas of silver to Aššur-bēl-awātim: his son Šu-Kūbum has sealed the houses where Šalim-Aššur lives and taken out the maid and the slaves; but out of the iron that Šalim-Aššur claimed at the City Hall and which has been invested in Iddin-Aššur and which he sent to Kanesh, Šu-Kūbum son of Aššur-bēl-awātim has taken Šalim-Aššur's share to cover Iddin-abum's debt, and he has released the houses, the maid and the slaves to Šalim-Aššur's representatives. ",ša 24 ma-na KÙ.BABBAR i-dí-a-bu-um a-na a-šur-be-el-a-wa-tim ḫa-bu-lu šu-ku-bu-um me-ra-šu É-tí ša šál-ma-a-šur wa-áš-bu ik-nu-uk-ma am-tám ù ÌR-dí ú-šé-ṣí-ma i-na a-mu-tim ša É a-lim{ki} ša-lim-a-šur i-sí-ú-ma iš-tí id-na-a-šùr ad-mu-ma a-na kà-ni-iš ú-šé-bi₄-lu qá-tám ša šál-ma-a-šur šu-ku-bu-um DUMU a-šur-be-el-a-wa-tim a-na ḫu-bu-ul i-dí-a-bi₄-im il₅-qé-ma É-tí am-tám ù ÌR-dí a-na ša ki-ma šál-ma-a-šur ú-šé-er <gap> ,"Concerning the fact that Iddin-abum owes 24 minas of silver to Aššur-bēl-awātim: his son Šu-Kūbum has sealed the houses where Šalim-Aššur lives and taken out the maid and the slaves; but out of the iron that Šalim-Aššur claimed at the City Hall and which has been invested in Iddin-Aššur and which he sent to Kanesh, Šu-Kūbum son of Aššur-bēl-awātim has taken Šalim-Aššur's share to cover Iddin-abum's debt, and he has released the houses, the maid and the slaves to Šalim-Aššur's representatives. "
14,14,14,,76,1,a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma IGI GÍR ša a-šùr ší-bu-tí-ni ni-dí-in ,The Kanesh colony gave us for these proceedings and we gave our testimony before Aššur's dagger. ,a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma IGI GÍR ša a-šùr ší-bu-tí-ni ni-dí-in ,The Kanesh colony gave us for these proceedings and we gave our testimony before Aššur's dagger. 
15,15,15,,79,0,a-šùr-na-da DUMU šu-{d}EN.LÍL tap-pá-i-ni , Aššur-nādā son of Šu-Illil is our (absent) partner. ,a-šùr-na-da DUMU šu-{d}EN.LÍL tap-pá-i-ni , Aššur-nādā son of Šu-Illil is our (absent) partner. 
16,16,16,,79,1,a-na a-wa-tim a-ni-a-tim kà-ru-um kà-né-eš i-dí-ni-a-tí-ma IGI GÍR ša a-šùr ší-bu-tí-ni ni-dí-in,"The Kanesh colony gave us for these proceedings and we gave our testimony before Aššur's dagger.""",a-na a-wa-tim a-ni-a-tim kà-ru-um kà-né-eš i-dí-ni-a-tí-ma IGI GÍR ša a-šùr ší-bu-tí-ni ni-dí-in,"The Kanesh colony gave us for these proceedings and we gave our testimony before Aššur's dagger."""
